Id,NameId,NameJp,Jp,Traslate,NameTranslate,Notes
2,1,千晶,「～♪」,,,
4,3,演劇部員１,"「ちょっと待ってよ…
なんなのよこれ」",,,
6,5,演劇部員２,"「おかしいよこんな盛り上がり。
ボーカルもギターも素人レベルじゃん」",,,
8,7,演劇部員３,"「ウチなんか何か月前から準備してると思ってるのよ。
こんなのに負けるなんて納得いかない！」",,,
10,9,演劇部員１,"「千晶…
今日は誰が何と言おうとあなたが一番だからね？」",,,
12,11,千晶,"「話しかけるな。
余韻に浸れない」",,,
14,13,演劇部員２,「…なに聴き入ってるのよ」,,,
16,15,演劇部員３,"「やっぱ午後の方が人はいるもんね。
ウチも順番最後の方にしてもらえばよかったのに」",,,
18,17,千晶,"「ね、ね、それよりもさ、
あのコ可愛くない？」",,,
20,19,演劇部員１,"「人には話しかけるなと言っておきながら、
自分からは話しかけるのね…」",,,
22,21,演劇部員２,「ボーカルに小木曽なんて反則だよねぇ」,,,
24,23,演劇部員３,"「男子みんな歌なんか聴いてないもん。
小木曽さんに見とれてるだけじゃんねぇ」",,,
26,25,千晶,"「ううん、ボーカルじゃなくてギター。
あの、どっちの気を引こうか迷いまくってる仕草とか」",,,
28,27,演劇部員１,「ギターって…あの男子？」,,,
30,29,千晶,「うんうん♪」,,,
32,31,演劇部員２,「誰…あれ？」,,,
33,,,………,,,
0,,,,,,
34,,,1008_030,,,
35,,,,,,
