Id,NameId,Name,Text,Traslate,NameTranslate,Notes
2,1,曜子,"「『１０で神童、１５で秀才、
ハタチ過ぎればただの人』って、よく言うけど…」",,,
4,3,曜子,"「今のあなたは、昔よりよっぽど荒削りで、
原石にまで戻ってしまってるわね」",,,
6,5,かずさ,「それって…下手になったってこと？」,,,
8,7,曜子,"「ありていに言えばそうなんだけどね…
でも相変わらず、私の若い頃よりは上。
そこが我が子ながら許し難いところ」",,,
10,9,かずさ,「なんだよそれ…」,,,
12,11,曜子,"「上手くはなってないけど、
伸びしろが劇的に増えたって言ってるの」",,,
14,13,かずさ,「要するに、どういうこと？」,,,
16,15,曜子,"「マーティン・フリューゲルって爺さん知ってる？
一応、この世界じゃ古株なんだけど」",,,
18,17,かずさ,「それ母さんの恩師じゃ…」,,,
20,19,曜子,"「最近じゃ年に２人までしか弟子取らないとか、
ふざけたこと言ってるのよ。もう長くないわね」",,,
22,21,かずさ,"「だってもう７０過ぎてるんじゃ？
まだ現役でいる方が凄いって」",,,
24,23,曜子,「来週から彼の選考が始まるわ。受ける？」,,,
26,25,かずさ,「受けるって…まさか…」,,,
28,27,曜子,"「もちろんウィーン。
あの人、もう飛行機乗ったらポックリ逝くから」",,,
30,29,かずさ,「………」,,,
32,31,曜子,"「あなた、最近向こう行ってないから、
最初だけは私も付き添うけど、どうする？」",,,
34,33,かずさ,「どうするって…」,,,
36,35,曜子,"「やっぱり行くのやめる？
もう一年くらい日本で遊んでても構わないけど？」",,,
38,37,かずさ,「それは…」,,,
40,39,曜子,"「ま、いいわ。少し考えてみなさい。
ただ、明後日には発つから猶予は一日だけね」",,,
42,41,かずさ,"「え…それだけ？
そんな、ちょっと待ってよ」",,,
44,43,曜子,"「決めかねてるなら
今回はやめておいた方がいいかもね。
生活、全然変わっちゃうし」",,,
46,45,かずさ,「………」,,,
48,47,曜子,"「とにかく今日はそっちに帰るから。
その時にまた話し合いましょう。
それじゃ…」",,,
50,49,かずさ,「待って、母さん」,,,
52,51,曜子,「ん？　なに？」,,,
54,53,かずさ,「………わかった、行く」,,,
55,,,………,,,
56,,,……,,,
57,,,…,,,
0,,,,,,
58,,,CATCH,,,
59,,,1011_030,,,
60,,,,,,
