Id,NameId,Name,Text,Traslate,NameTranslate,Notes
5,4,孝宏,「あ…」,,,
7,6,小春,"「小木曽…よかった。
なんとか間に合った」",,,
9,8,孝宏,「杉浦…？」,,,
11,10,小春,"「今日、政経だっけ？
いきなり本命だね」",,,
13,12,孝宏,「どうして…？」,,,
15,14,小春,「謝りたくて」,,,
17,16,孝宏,「え…」,,,
19,18,小春,"「昨日、あんな酷いこと言ってごめんなさい。
小木曽、今日が入試だったのに、
あまりにも配慮が足りませんでした！」",,,
21,20,孝宏,"「お、おい、やめろって！
みんな見てる！」",,,
23,22,小春,「…ごめん」,,,
25,24,孝宏,「…それだけのためにわざわざ待ってたのか？」,,,
27,26,小春,"「電話じゃ伝わらないこともあるし、
直接会って謝りたかったから…」",,,
29,28,孝宏,「杉浦…」,,,
31,30,小春,"「それも、試験が始まる前に。
今までの小木曽の頑張りが、
わたしのせいで無駄になったらどうしようって…」",,,
33,32,孝宏,"「べ、別に気にしてないって。
どうせ人様に威張れるほど頑張ってないし、
それに、杉浦には怒られ慣れてるし」",,,
35,34,小春,"「でも、今まではわたしが正しかったけど、
昨日のは小木曽の方が正しかったから…」",,,
37,36,孝宏,「…今までは全部俺の方が間違ってたのかよ」,,,
39,38,小春,"「あ、ごめん。
わたし、また…」",,,
41,40,孝宏,「…いや、いいよ。そういうのが杉浦らしい」,,,
43,42,小春,「らしい、か…」,,,
45,44,孝宏,"「ああ。
なんか去年までの杉浦と話してる気分だ。
…そっちもちょっとは吹っ切れたみたいだな」",,,
47,46,小春,「………あのね、小木曽」,,,
49,48,孝宏,「ん？」,,,
51,50,小春,"「わたしは、あんたに色々と
話さなくちゃならないことがある」",,,
53,52,孝宏,「…そうなの？」,,,
55,54,小春,"「いつか正直に全部話したい。
わたしがどういう人間か、理解してもらいたい。
…その上で、本当の意味で謝りたいって思ってる」",,,
57,56,孝宏,"「なんか色々あるみたいだな、杉浦も。
…俺には心当たり全然ないんだけど」",,,
59,58,小春,"「でも今は、目の前の試験に集中して欲しい。
昨日のこと、本当にごめんなさい。
そして、今日は頑張って」",,,
61,60,孝宏,"「わかった。
………正直、こうして話せてちょっと気が晴れた。
これで今日の試験、平常心で受けられそうだ」",,,
63,62,小春,「…本当にごめんね？」,,,
65,64,孝宏,"「何度も言うなって。
…さて、俺そろそろ教室行くわ」",,,
67,66,小春,「受かるといいね」,,,
69,68,孝宏,"「受かるに決まってるだろ？
春からも同じ大学だ。またよろしくな」",,,
71,70,小春,「…それじゃあ、頑張ってね」,,,
73,72,孝宏,「ああ、じゃあな！」,,,
75,74,小春,「………」,,,
77,76,小春,"「…ごめんね、小木曽。
一緒の大学には、通えないんだ」",,,
78,,,………,,,
80,79,佐藤,「皆さん、おはようございます」,,,
82,81,店員たち,「おはようございま～す」,,,
84,83,佐藤,"「ええと、本日は朝礼に入る前に、
杉浦さんの方から挨拶があります。
…杉浦さん」",,,
86,85,小春,「はい」,,,
88,87,春希,「………」,,,
90,89,小春,「皆さん、おはようございます。杉浦です」,,,
92,91,小春,"「突然ではありますが、わたしこのたび、
今日限りでこちらのアルバイトを
辞めさせていただくことになりました」",,,
94,93,小春,「こちらにお世話になってから三か月ほど経ちました」,,,
96,95,小春,"「少しずつ仕事にも慣れ、
やっと皆さんのお役に立てそうになってきた
この時期に辞めるのは、大変申し訳なく思っています」",,,
