Id,NameId,NameJp,Jp,Traslate,NameTranslate,Notes
5,4,春希,「…あ」,,,
7,6,店員,"「いらっしゃいませ…あ、
いつもありがとうございます！」",,,
8,,,"地下の食料品街を抜け、
ショッピングモールをしばらく歩き…",,,
10,9,春希,「…覚えてたんですか？」,,,
12,11,店員,"「ええ。一度お買いあげいただいたお客様のお顔は
絶対に忘れませんから」",,,
14,13,春希,「そりゃ、どうも…」,,,
16,15,店員,"「本日は何をお探しですか？
また何時間でもお付き合いしますよ？」",,,
18,17,春希,「い、いや、ええと、その…」,,,
20,19,店員,"「…では、ごゆっくりお選びください。
何かありましたらいつでも声をかけてくださいね？」",,,
22,21,春希,「…ありがとうございます」,,,
23,,,２月１４日。,,,
24,,,"もう、ショッピングモールのバレンタインセールも、
最後の追い込みへと突入していた午後三時。",,,
25,,,"俺はまた、馬鹿の一つ覚えみたいに、
この店へと辿り着く。",,,
26,,,………,,,
29,,,前に来た時は、２時間迷った。,,,
30,,,"『何を贈れば喜んでくれるか』だけでなく、
『何を贈れば当たり障りがないか』って…",,,
31,,,"“彼女”との距離が遠ざかるのが怖くて、
けれど近寄りすぎることに罪悪感があって…",,,
32,,,どっちかに決めないとって、一人堂々巡りしてた。,,,
33,,,"そして今、二人の距離は、あの時よりも遙かに遠ざかり、
もう、支えきれないくらいの重い罪悪感に支配され、
それでもやってきてしまった、彼女の誕生日。",,,
34,,,今の俺は、彼女に何を贈ればいいんだろうか。,,,
35,,,"そもそも、彼女に贈り物をすることが、
正しいことなんだろうか。",,,
36,,,"今度の迷いは…
どの行動を選択しても、晴れることはなさそうだった。",,,
37,,,………,,,
39,38,春希,「っ…」,,,
40,,,"今日も、寒かった。
今年一番の冷え込みだって、天気予報で言ってた。",,,
41,,,"…『今日も』って、
いつの年の、いつの日と比較してるんだろうな、俺は。",,,
42,,,"携帯の時計を見ると、
もう、午後４時をほんの少し過ぎていた。",,,
43,,,"結局、一時間以上も迷った末の戦利品をポケットに、
俺は、駅の改札へと向かう。",,,
44,,,けれど…,,,
45,,,"『ウエストバージニア航空２０６便。
日本時間１８時成田空港着予定』",,,
46,,,"麻理さんらしい、簡素で、
事実だけしか書かれていないメール。",,,
47,,,"…ついでにこっちの都合を気にしないところなんかも、
彼女らしかったり。",,,
48,,,届いたのは、ほとんどこの便の出発直前の時間。,,,
49,,,"たぶん空港でずっとキャンセル待ちしてて…
だからギリギリまで到着時刻が確定しなかったんだろう。",,,
50,,,"彼女はそこまでして、
たった一日を日本で過ごすために戻ってくる。",,,
52,51,春希,「………」,,,
53,,,………,,,
54,,,"雪菜との約束が午後５時。
そして、飛行機が到着するのが午後６時。",,,
56,,,なんでこんな嫌な符合を見せてしまうんだろうな。,,,
57,,,"麻理さんの到着が、せめて二時間早ければ…
雪菜との約束が、せめて二時間遅ければ…",,,
58,,,けれどそれは、あの時だって。,,,
60,,,"人生最大の過ちを犯したあの日と、
まったく同じ選択肢が、俺の目の前に転がってる。",,,
61,,,なぁ、雪菜…,,,
62,,,"どうして俺たちって、
いつもこうなんだろうな…",,,
