Id,NameId,NameJp,Jp,Traslate,NameTranslate,Notes
2,1,依緒,「…あれ、春希か？」,,,
4,3,雪菜,"「ね、知ってる？
わたしが軽音楽同好会に参加したきっかけ」",,,
6,5,依緒,"「春希に強引にスカウトされたんだろ？
武也がそんなこと言ってた」",,,
8,7,雪菜,"「ここで校庭を見てたらね…
『ＷＨＩＴＥ　ＡＬＢＵＭ』が流れてきてね…」",,,
10,9,依緒,「なんとも出来過ぎた話だよなぁ」,,,
12,11,雪菜,"「ギターとピアノのセッションでね。
すごく息が合ってて、なんだかとっても楽しそうで」",,,
14,13,依緒,「………」,,,
16,15,雪菜,"「だから、その音にどうしても混ざりたくなって…
気がついたら歌ってた」",,,
18,17,依緒,「そう…」,,,
20,19,雪菜,"「自分から仲間に入りに行くなんて、
ここに入ってから、初めてだったな…」",,,
22,21,依緒,"「雪菜ってさ、あんなに人気あったのに、
結構付き合い悪かったもんなぁ。
男だけならともかく、女友達とも」",,,
24,23,雪菜,"「それでも依緒は、いつも遠慮なかったよね。
今だから言うけど、結構嬉しかったんだよ？」",,,
26,25,依緒,"「難儀な友達付き合いを求めるよなぁ。
この高い壁を越えてきた者にだけ微笑む…っての？」",,,
28,27,雪菜,"「だってそういう友達ならさ、
普通、絶交とかしないでしょ？」",,,
30,29,依緒,「………」,,,
32,31,雪菜,「…傲慢だよね」,,,
34,33,依緒,「傲慢だね」,,,
36,35,雪菜,"「…ありがとう。
だから、依緒とは友達でいられたんだろうな」",,,
38,37,依緒,"「結局、雪菜がそんなふうになった理由は、
まだ話してもらってないけど」",,,
40,39,雪菜,"「…つまんないことだよ。
本当に大したことない、どうでもいい思い出」",,,
42,41,依緒,「そう…」,,,
44,43,雪菜,「だけど…」,,,
46,45,依緒,「雪菜？」,,,
48,47,雪菜,"「また、やっちゃった。
どうしてこうなるかなぁ…」",,,
50,49,依緒,「………」,,,
52,51,雪菜,"「こんなはずじゃ、なかったんだ。
こんなはずじゃ」",,,
54,53,依緒,"「雪菜のせいじゃない。
彼女の留学が、雪菜のせいなんかであるわけない」",,,
56,55,雪菜,"「ホント、依緒って怖いね。
わたし、何も言えなくなっちゃいそう」",,,
58,57,依緒,"「春希が悪いんだから。
あいつが、雪菜の気持ちも知らずに先走って…」",,,
60,59,雪菜,「告白したのは、わたしの方からだよ」,,,
62,61,依緒,「え…」,,,
64,63,雪菜,"「学園祭の夜。
依緒と別れて、音楽室に行った後、すぐに…」",,,
66,65,依緒,"「なん、で？
だってあの時、雪菜…」",,,
68,67,雪菜,「………」,,,
70,69,依緒,"「い、いや、けどさ。
やっぱそれって何の関係もないじゃん？」",,,
72,71,雪菜,"「じゃあ、どうして春希くんが悪いなんて言うのかな？
依緒は」",,,
74,73,依緒,「関係ないよ。雪菜のせいなんかであるわけない」,,,
76,75,雪菜,「答えになってないよ？」,,,
78,77,依緒,"「雪菜と春希がつきあい始めたことと、
あのコが留学することに、何の相関関係もないって！」",,,
80,79,雪菜,「…ないと思う？」,,,
82,81,依緒,"「その程度のことで自分の将来を決めたりするもんか。
彼女の言う通り、ピアノのことと母親のためだよ」",,,
84,83,雪菜,"「かずさ…すごくうまく隠してた。
…でも、隠してることがわかっちゃったんだ」",,,
86,85,依緒,「そんなの、雪菜の気の回しすぎだって」,,,
88,87,雪菜,「だったら…それでも悲しいけどね」,,,
90,89,依緒,"「いまどき男にフられて逃げるなんて、
あまりにも痛すぎるだろ…本気過ぎるだろ。
あり得ないよ」",,,
92,91,雪菜,「こんなはずじゃ………なかったんだ」,,,
0,,,,,,
93,,,1012_030,,,
94,,,,,,
