Id,NameId,NameJp,Jp,Traslate,NameTranslate,Notes
2,1,かずさ,「あ…」,,,
3,,,もう、問答無用だった。,,,
4,,,"家に誰がいるかも確かめないまま、
俺たちは手を繋いだまま堂々と部屋に入り、
ベッドにもつれるように倒れ込んだ。",,,
5,,,"母親は帰ってなかったけれど、
もし帰っていても、同じ事をしたと思う。",,,
7,6,かずさ,"「んんっ！？
ん、んぅ…あ、は、はぁ、ぁぁ…」",,,
8,,,"そして、残された時間を、
一瞬たりとも無駄にしないという決心とともに、
軽い触れ合いを無視して、深く絡みあう。",,,
10,9,かずさ,"「ん、ん、ん～っ、
は、あ、あむっ、ん、んむ…ぷぁっ、あぁ、あ…」",,,
12,11,春希,「あ、んむ…はぁ、ぁぁぁ…」,,,
13,,,"あの時みたいに、
彼女は俺の激しさを嫌悪しない。",,,
14,,,"入ってくる舌を受け入れて、
おそるおそるだけど、自分の舌で絡ませようとしてくる。",,,
15,,,"そんな、健気でたどたどしい努力が、
その容姿やいつもの態度とは裏腹で、
それがまた嬉しくて…",,,
17,16,かずさ,"「は、あ、あむ…
ん、ん…は、春希、ぃ」",,,
19,18,春希,「う、うん…あ、んむ…冬馬…」,,,
21,20,かずさ,「～～～っ！」,,,
22,,,がりっ,,,
24,23,春希,「いへぇっ！？」,,,
25,,,"なんて浸ってたら、
いきなり強烈なカウンターパンチ…",,,
26,,,"差し込んだ舌を、上と下の前歯で挟まれて、
結構な力を込められた。",,,
28,27,春希,「ちょ、ちょ、ちょっと…おい…今のは…っ」,,,
29,,,つまり、舌を噛まれた。,,,
31,30,かずさ,「冬馬って、誰だよ…」,,,
33,32,春希,「あ…」,,,
35,34,かずさ,「間違えるな…馬鹿」,,,
36,,,"俺から離れた冬馬の…いや、かずさの唇が、
そんな可愛らしい、女の子みたいな不満を漏らす。",,,
38,37,春希,「…ごめん」,,,
40,39,かずさ,「………」,,,
42,41,春希,「ごめん…かずさ」,,,
44,43,かずさ,「仕方ない…許す」,,,
45,,,"『まだ慣れてない』なんて当然の言い訳を、
聞き入れてくれるはずもないくらい、
かずさは、かずさと呼ばれることに飢えていた。",,,
47,46,かずさ,"「ね、春希…
べ～って、して」",,,
49,48,春希,「え…」,,,
