Id,NameId,Name,Text,Traslate,NameTranslate,Notes
5,4,春希,「………」,,,
6,,,"駄目だ…
これ以上は、眠れない。",,,
7,,,"何度目を閉じても、何も考えないことに意識を集中しても、
醒めてしまった目と覚めてしまった頭はどうしようもない。",,,
8,,,"枕元の時計は、八時。
でも『あの日から二日後』の八時。",,,
9,,,"３０時間の睡眠は、
俺の頭と体から、全ての疲労を取り除いてしまっていた。",,,
11,10,春希,「はぁ…ぁ…」,,,
12,,,"明るくなってきた天井を見続けるのにも飽きて、
俺は、よせばいいのに視線を横に向けてしまう。",,,
13,,,"『んふふ～』なんて馬鹿っぽい寝ぼけ声で、
だらけた寝返りを打つ奴なんかいないって知ってるのに。",,,
14,,,"いないってことを知ってて、それを確認するだけで、
心臓に鉛の冷たさと重さがのしかかるって知ってるのに。",,,
16,15,春希,「ん…」,,,
17,,,"泣いてるのかを確認するのも怖い。
今年の冬は、こんなことばっかりだ。",,,
18,,,一度目は、頑張って抜け出した。,,,
19,,,"一つのことに打ち込み、心をいっぱいにして、
昔の、元気だった自分に力を分けてもらった。",,,
20,,,二度目は、頑張らずに抜け出した。,,,
21,,,"ただ甘いぬるま湯で、とろけるまで温められ、
ゆっくりと、冷たくなった心を溶かしてもらった。",,,
22,,,そして三度目は…,,,
23,,,"頑張った先に何があるか見えない。
頑張らないでいたら、あっという間に凍えてしまう。",,,
24,,,"ただ…
雪菜に対して、してしまった仕打ちは消せない。",,,
25,,,"他の女に、雪菜とのことを話してしまった事実は、
近いうちに、彼女も知ることになる。",,,
26,,,"俺の口からか、友人の口からか。
…それとも、とある演劇の評判からか。",,,
27,,,"今の俺は、もがけばもがくほど、雪菜を裏切り、
逃げても逃げても、やっぱり雪菜を傷つける。",,,
28,,,『元気ですか？』,,,
30,29,春希,「………ごめん」,,,
31,,,"だから、一昨日、寝る前に届いた雪菜のメールを、
まだ開けないままの自分がここにいる。",,,
33,32,上原,"「そうは言っても…
もう脚本も上がってるし稽古も始まってる」",,,
35,34,武也,"「どう考えたって実在の人間をモデルにしてる。
プライバシーの侵害だろ」",,,
37,36,上原,"「ホンは読んだけど、一応の配慮はしてた。
三人の関係以外の描写はほとんどないよ」",,,
39,38,武也,"「それでも…
付属の人間なら、誰にだって特定できる」",,,
41,40,上原,"「どうしてもって言うなら法的手続きを取ればいい。
…けどその場合は、本人が直接訴え出てくれよな」",,,
43,42,武也,"「…今のあいつにそんなことができるかよ。
あいつをあんなふうにしちまったのは
あんたんとこの部員なんだぞ？」",,,
45,44,上原,"「…謝って済む問題なら俺が土下座する。
だから姫…瀬之内はそっとしておいてくれ」",,,
47,46,武也,「あんた…なんであの女をそんなに庇うんだ？」,,,
49,48,上原,"「例の付属祭でやった『雨月山の鬼』…
四年の時あれ見て思いっきり引き込まれてね。
彼女が<R大学|うえ>に進学してくれたときは歓喜したよ」",,,
51,50,武也,「あれ？　あの時四年って…」,,,
53,52,上原,"「ああ、俺？
今七年生。
今年卒業できなかったら放校なんだ」",,,
55,54,武也,「………来週から期末試験だぞ、先輩」,,,
