Id,NameId,NameJp,Jp,Traslate,NameTranslate,Notes
5,4,浜田,"「や～、引き受けてくれて助かった。
これでアンサンブルの編集長にも顔が立つ」",,,
7,6,春希,"「言っておきますけど俺、
音楽性のことに関しては素人ですよ？」",,,
9,8,浜田,"「いいよ、そっちの記事は編プロに任せてある。
お前が担当するのはあくまでも、
神秘のベールに包まれた冬馬かずさの『私』の部分だ」",,,
11,10,春希,「…ヘアヌードでも撮れって言うんですか？」,,,
13,12,浜田,"「美人なら政治家だってグラビアになる時代だ。
それができるなら今度は本物の社長賞ものだぞ？」",,,
15,14,春希,「やっぱ前回のあれ、偽物だったんですね…」,,,
16,,,そして月曜日。,,,
17,,,"『仕事しない』とゴネていた前代未聞の部下が、
ちょっと態度を軟化させただけで、
我が上司は随分と顔をほころばせていた。",,,
18,,,"『こんな芸能ネタで』と思わないでもないけど、
ま、入社一年目の新人社員に全面的に任せるんだから、
その程度の仕事ってことなんだろう…多分。",,,
20,19,春希,「それで、この仕事はいつから？」,,,
22,21,浜田,「もちろん今日から」,,,
23,,,"ちなみに今日が世間的には祭日であることは、
出版業界の人々には通用しない理屈だった。",,,
25,24,春希,「…まだ何の準備もできてませんよ？」,,,
27,26,浜田,「それは追々やっていけばいい。今日明日で」,,,
28,,,『明日まで』を追々と表現するんだ我が社は…,,,
30,29,浜田,"「今日からは基本出張扱いってことになるから。
出勤時間も自由。毎日来る必要もない」",,,
32,31,春希,「いいんですか？」,,,
34,33,浜田,"「ただ、週に二度、月曜と金曜に進捗報告と
そこまでの成果物を提出すること」",,,
36,35,春希,「…わかりました」,,,
37,,,"金曜の次の報告日が月曜って時点で、
土日を休ませるつもり皆無ってことね…",,,
39,38,浜田,"「それと、仕事１つだけじゃどうせ暇になるだろうから、
担当以外の雑務もメールベースで指示を出す。
なのでメールチェックだけは絶対に怠るな」",,,
41,40,春希,「………了解しました」,,,
42,,,ついでに空き時間も全て仕事で埋めてくださる訳ね…,,,
44,43,浜田,"「とりあえず今はこんなところだが、
他に質問は？」",,,
46,45,春希,"「冬馬家の方々の滞在場所を。
まずは挨拶に伺わないと。
それに今後はそこが拠点になるんですよね？」",,,
48,47,浜田,"「ああ、それか…
なんでも今朝方引き払ったそうだぞ」",,,
50,49,春希,"「引き払った？
だって、昨日はそんなこと…」",,,
52,51,浜田,「昨日？」,,,
54,53,春希,「言ってませんでしたよねぇ浜田さん！」,,,
55,,,言ってなかったよな、かずさ…,,,
57,56,浜田,"「そりゃ、俺だって今朝方知ったばかりだし。
実は今朝早く冬馬曜子が編集部に訪ねてきてな。
お前は出先だったから紹介できなかったけど」",,,
59,58,春希,「ああ、それは別にいいんですけど」,,,
60,,,"今さら他人を交えて会っても、
色んな事情を隠して会話するのが面倒だし。",,,
62,61,浜田,"「なんかホテルにも何度か取材が来て、
色々トラブったみたいだからなぁ」",,,
64,63,春希,「ええ、そうなんです………か」,,,
65,,,そうなんです“よ”と言いそうになった…,,,
67,66,浜田,"「今後は他社の目をくらますという意味もあって、
二人は別々に都内に部屋を借りたらしい。
ついでに練習場所も変えるそうだ」",,,
69,68,春希,「そうですか…」,,,
71,70,浜田,"「つまり、ウチ以外は全て
冬馬かずさの足取りを失ったってことになる。
…完全独占スクープだぞ北原！」",,,
73,72,春希,"「俺も足取りを失ってしまいましたが、
どこに行けば冬馬さんに会えるんですか？」",,,
75,74,浜田,"「…お前、もう少し熱くなれない？
天才美人ピアニストでお前の元同級生だろ？
そんな女性と四六時中一緒にいられるんだぞ？」",,,
77,76,春希,"「…俺にとっては普段の仕事と何も変わりません。
取材対象に会って、話を聞いて、記事にするだけです」",,,
79,78,浜田,「相変わらずクールだなお前…」,,,
81,80,春希,「ええ、まぁ…」,,,
82,,,"…ということにしないとやってられない。
だって、その特別が悪い方向に働くことだってある。",,,
84,83,浜田,"「まぁいいや。
それについても心配ない。
冬馬曜子からこれを預かってる」",,,
85,,,"と、浜田さんから渡された茶封筒を開くと、
中から軽い金属音とともにこぼれてきたのは…",,,
87,86,春希,「………鍵？」,,,
89,88,浜田,「鍵だな」,,,
91,90,春希,「で、これが？」,,,
93,92,浜田,"「いや、それだけ。
渡せばわかるって」",,,
