Id,NameId,Name,Text,Traslate,NameTranslate,Notes
4,,,テキスト進行,,,
5,,,フラグで分岐確認したルートはそのまま下記へ,,,
6,,,テキスト進行,,,
7,,,"ここまで造形的に良くできた女でありながら、
ここまで女を感じさせない女は初めてだった。",,,
10,,,"に置き去りにして一人で会場を後にした。\k
",,,
11,,,"　その時彼女を満たしていたものは、喜びでも、達成感でも、怒りでも、虚無感ですらもない、まったく何でもない、フラットな感情だった。\k
",,,
12,,,　母を憎むよりは、その方が楽だったから。,,,
13,,,"　その時彼女を満たしていたものは、喜びでも、達成感でも、怒りでも、虚無感ですらもない、まったく何でもない、フラットな感情だった。\k
",,,
14,,,　母を憎むよりは、その方が楽だったから。,,,
15,,,"　冬馬かずさは、教師が嫌いだった。\k
",,,
16,,,"<F16…<R年下の男|おまえ>の気持ちなんて」>
<F30う><F28わ><F26あ><F24あ><F22あ><F20あ><F18あ><F16あ><F14あ><F12あ><F10あ><F8あ>「ほら、音源データ。
これがライブ<R直前|ちょくぜん>の、一番完成度の高い演奏」",,,
20,,,"―<R――|もけ>
ỞỞỞ",,,
22,21,ほわるば２,"ああうえ
",,,
23,,,"「１２３４５６７８９０１２３４\k５６７８９１２３４５６。\k
１２３４５６７８９０<R１２|ばかな>３４５６７８９０１２３４５６\k
１２３４５６７８９０１２３４５６７８９０１２３４５６」",,,
24,,,"―――
ỞỞỞ",,,
25,,,"「ほら、音源データ。
これがライブ<R直前|ちょくぜん>の、一番完成度の高い演奏」",,,
26,,,"<F18「１２３４５６７８９０１２３４\k５６７８９１２３４５６。\k
１２３４５６７８９０<R１２|ばかな>３４５６７８９０１２３４５６\k
１２３４５６７８９０１２３４５６７８９０１２３４５６」>",,,
27,,,"ああうえ
",,,
29,28,ほわるば２,"ああうえ
",,,
30,,,"「１２３４５６７８９０１２３４\k５６７８９１２３４５６。\k
１２３４５６７８９０<R１２|ばかな>３４５６７８９０１２３４５６\k
１２３４５６７８９０１２３４５６７８９０１２３４５６」",,,
31,,,"―――
ỞỞỞ",,,
34,33,ほわるば２,"ああうえ
",,,
35,,,"「１２３４５６７８９０１２３４\k５６７８９１２３４５６。\k
１２３４５６７８９０<R１２|ばかな>３４５６７８９０１２３４５６\k
１２３４５６７８９０１２３４５６７８９０１２３４５６」",,,
36,,,１２３４５６７８９０１２３４５６７８９０１２３４５６。,,,
49,,,"１２３４５６７８９０１２３４\k５６７８９０１２３４５６。\k
",,,
53,,,１２３４５６７８９０<R１２|ばかな>３４５６７８９０１２３４５６。,,,
57,,,１２３４５６７８９０１２３４５６７８９０１２３４５６。,,,
70,,,１２３４<R５６７|あいつ>８９０１２３４５６７８９０１２３４５６。１２３４５６７８９０<R１２|ばかな>３４５６７８９０１２３４５６。１２３４５６７８９０１２３４５６７８９０１２３４５６。,,,
71,,,"サンプル\k
",,,
72,,,キ<w20>ャ<w20>ラ<w20>残<w20>し<w20>背<w20>景<w20>だ<w20>け<w20>,,,
73,,,<S9タケヤだけキャラ消し>,,,
75,74,ほわるば２,"ああ\kうえ\k
",,,
76,,,まじで,,,
77,80,春希,あーんど,,,
78,,,ループします,,,
0,,,,,,
1,,,B990000.tga,,,
2,,,,,,
3,,,bak,,,
8,,,１．苦手だ、こいつ,,,
9,,,２．なんとなく心地良い,,,
17,,,１．苦手だ、こいつ,,,
18,,,２．なんとなく心地良い,,,
19,,,３．ありえなくなくない？,,,
32,,,,,,
37,,,湯煙.ani,,,
38,,,,,,
39,,,grp,,,
40,,,catch_IC.tga,,,
41,,,,,,
42,,,grp,,,
43,,,catch_H.tga,,,
44,,,,,,
45,,,grp,,,
46,,,catch_V.tga,,,
47,,,,,,
48,,,grp,,,
50,,,v101200_bg.tga,,,
51,,,,,,
52,,,grp,,,
54,,,v101200_chr.tga,,,
55,,,,,,
56,,,grp,,,
58,,,sys_1010.tga,,,
59,,,,,,
60,,,grp,,,
61,,,sys_1010.tga,,,
62,,,,,,
63,,,grp,,,
64,,,sys_1010.tga,,,
65,,,,,,
66,,,grp,,,
67,,,sys_1010.tga,,,
68,,,,,,
69,,,grp,,,
79,,,,,,
